survey_id;account_id;account_text;;;;;;;;;;;;;;;;;;;;;
8;119;The practice of technical or non-technical skills necessary to handle an abnormal operating condition;;;;;;;;;;;;;;;;;;;;;
8;120;The ability to interact with virtual objects that would be deemed too dangerous in the real world.;;;;;;;;;;;;;;;;;;;;;
8;121;the use of immersive VR to improve a user�s attitude toward a community, cultural movement or service;;;;;;;;;;;;;;;;;;;;;
8;122;using VR 360-degree interactive images, projected by HMD (smartphone), allows for the facilitation of student-created content in authentic simulation;;;;;;;;;;;;;;;;;;;;;
8;123;support environments that allow for more control than what would be available in real life, especially when dealing with intangible concepts.;;;;;;;;;;;;;;;;;;;;;
8;124;a platform that can subject users to intangible stimuli such as fear, addiction, and violence;;;;;;;;;;;;;;;;;;;;;
8;125;immersive VR being incorporated into post-secondary education and skill training (...) the maintenance of ethical principles,  overcoming problems concerning time and space, increasing the physical accessibility of environments that are not normally accessible and/or overcoming what would normally be a dangerous situation;;;;;;;;;;;;;;;;;;;;;
8;126;(...) find avatars of community members and government officials, who explained (...) [content] as a �situated experiential education environment.�;;;;;;;;;;;;;;;;;;;;;
8;127;Interactivity - (...) artwork and graphical design showpieces can be displayed in virtual showrooms and allow user interactivity.;;;;;;;;;;;;;;;;;;;;;
8;128;Skill Training/Interactivity/Engagement - VR glass experience featured (...) 360-degree views of [location] (...) to learn about [location-related content] (...). Users could interact with learning points to receive audio information.;;;;;;;;;;;;;;;;;;;;;
8;129;Engagement/Skill Training/Suggestion -  HMD VR (...) users experience [concept] (...) from the perspective of either a human [in a concept-related locale] (...) or piece of [physical element from concept-related locale] (...).;;;;;;;;;;;;;;;;;;;;;
8;130;learn applicable material in a Virtual [simulated context of its application];;;;;;;;;;;;;;;;;;;;;
8;131;Convenience - This paper presents a detailed conceptual framework for [technical] practice with VR. ;;;;;;;;;;;;;;;;;;;;;
8;132;A virtual environment of a [locale] (...) relaxation scenario will change from calm to stormy, depending on the user�s [variable physical parameter] (...).;;;;;;;;;;;;;;;;;;;;;
8;133;Skill Training/Engagement HMD VR (...) allowed users to enter a (...) [location] to experience (...) symptoms associated with [psychological disorder], complete with auditory and visual hallucination.;;;;;;;;;;;;;;;;;;;;;
8;134;Skill Training/Convenience/Interactivity - HMD VR systems were used to train [technical users] (...), outside of formal training facilities;;;;;;;;;;;;;;;;;;;;;
8;135;Sun et al., 2017 (...) �Bounded Adoption� strategy [for design of learning experiences];;;;;;;;;;;;;;;;;;;;;
8;136;Team Building HMD VR (...) was used for text browsing in a digital library, where both librarian and students users worked together.;;;;;;;;;;;;;;;;;;;;;
8;137;VR framework to enhance learning experiences in classroom settings (...) includes recording of lecture, visualization of instructor communication, user input for verbal note-taking;;;;;;;;;;;;;;;;;;;;;
8;138;how to implement practical VR coursework in engineering education by encompassing skill development, interdisciplinary teamwork and time management training.;;;;;;;;;;;;;;;;;;;;;
8;139;HMD VR assisted in constructing a block structure (...) highlighting guidance information systems: overlay;;;;;;;;;;;;;;;;;;;;;
8;140;HMD VR assisted in constructing a block structure (...) highlighting guidance information systems (...) adjacent;;;;;;;;;;;;;;;;;;;;;
8;141;development of knowledge and enhancement of a user�s competency in a specific task;;;;;;;;;;;;;;;;;;;;;
8;142;skill training [organized] to involve teacher-to-student interaction;;;;;;;;;;;;;;;;;;;;;
8;143;to reduce workspace requirements- a concept that expands on location convenience by featuring a multitude of different (...) equipment that can be experienced within a single space;;;;;;;;;;;;;;;;;;;;;
8;144;engagement (...) in the learning process, usually by being offered challenges or interactive elements within the educational virtual environment;;;;;;;;;;;;;;;;;;;;;
8;145;allow for damage to occur within the virtual world, allowing users to safely learn from mistakes that would normally cause real-world machinery to collapse or cause personal injury;;;;;;;;;;;;;;;;;;;;;
8;146;emphasized key elements and variables of objects, supplementing users with additional information;;;;;;;;;;;;;;;;;;;;;
8;147;a social constructivist approach for how immersive VR could be incorporated into post-secondary education curricula;;;;;;;;;;;;;;;;;;;;;
8;148;student-created virtual environments (...) led by the students themselves, using a team collaborative style;;;;;;;;;;;;;;;;;;;;;
8;149;Experiential learning allows the students to use their newly created virtual environments to role-play their actions in simulated scenarios, aiming to achieve mastery over their discipline;;;;;;;;;;;;;;;;;;;;;
8;150;An immersive VR system that focused on time convenience would expand the windows of opportunities available to beyond what a user is normally allowed.;;;;;;;;;;;;;;;;;;;;;
8;151;It was also capable of providing quantitative feedback to users, based on their performance on specific tasks within the virtual world.;;;;;;;;;;;;;;;;;;;;;
8;152;The theory of implementing a virtual event that makes the user feel central to the environment, resulting in an authentic illusion;;;;;;;;;;;;;;;;;;;;;
8;153;Conceptual Blending Theory - Recommends AR users to move �fluidly� between the physical and virtual world. This creates a conceptual blend as users layer multiple, distinct �conceptual spaces,� or different �source domains,� (...) ;;;;;;;;;;;;;;;;;;;;;
8;154;Constructivist strategies in VR (...) [to] empower learners to author their own scenarios in which they have an emotional investment.;;;;;;;;;;;;;;;;;;;;;
8;155;Flow Theory - A positive experience associated with immersive VR (...) induced by intrinsic motivation, well-defined goals, appropriate levels of challenge and feedback.;;;;;;;;;;;;;;;;;;;;;
8;156;Jefferies Simulation Theory - The development process of simulations includes context, background and design characteristics, resulting in dynamic interactions between the facilitator and learner through the use of appropriate educational strategies.;;;;;;;;;;;;;;;;;;;;;
8;157;Kolb�s Experiential Learning Theory - A four step theory (...) that form a continuous cycle (...) as users experience immersive VR.;;;;;;;;;;;;;;;;;;;;;
8;158;Motivation Theory - VR learning (...) [to] enhance user focus (...) [for] further investment of energy to allocate cognitive resources during difficult parts of the lesson.;;;;;;;;;;;;;;;;;;;;;
8;159;experience new capabilities as actions are performed with novel/intriguing consequences;;;;;;;;;;;;;;;;;;;;;
8;160;learn semantic associations from content of experience;;;;;;;;;;;;;;;;;;;;;
8;161;encourage a user to imagine being in a different actual location;;;;;;;;;;;;;;;;;;;;;
8;162;Interactions among other users (...) sense of being part of the setting;;;;;;;;;;;;;;;;;;;;;
8;163;Situated Learning - Virtual environments allow users to interact with objects and apply them within the setting itself, fostering tacit skills through experience and modeling;;;;;;;;;;;;;;;;;;;;;
8;164;stimuli found in virtual environments [to] affect both a user�s cognitive and affective states, which in turn leads to behavioral changes (technology adoption behavior);;;;;;;;;;;;;;;;;;;;;
8;165;Control Value Theory of Achievement Emotions (CVTAE) - Learning (...) facilitated through positive achievement emotions (...) instructional design elicits and promotes appraisal of student autonomy and intrinsic value.;;;;;;;;;;;;;;;;;;;;;
8;166;allocate time for training in the development of software and utilization of immersive VR hardware;;;;;;;;;;;;;;;;;;;;;
8;167;Detail a realistic and practical plan for the transformation or creation of the [VR] course;;;;;;;;;;;;;;;;;;;;;
8;168;Increase the awareness to faculty members about the [VR] technology integration via staff emails, learning management systems, seminars, and posters;;;;;;;;;;;;;;;;;;;;;
8;169;Consider administrative support to reduce faculty member load [when implementing VR courses];;;;;;;;;;;;;;;;;;;;;
8;170;Enable collaboration between faculty members to share ideas for enhancing the [VR course] system;;;;;;;;;;;;;;;;;;;;;
8;171;student-developed immersive VR programs;;;;;;;;;;;;;;;;;;;;;
8;172;Simple [student-developed immersive VR programs] �Videos adapted into 360-degree format for mobile phone VR by using (...) cameras with their videos merged into a single equirectangular video by (...) software;;;;;;;;;;;;;;;;;;;;;
8;173;Advanced [student-developed immersive VR programs] �Software creation as an immersive VR program for consumer based HMDs, developed by a graphics rendering engine;;;;;;;;;;;;;;;;;;;;;
8;174;a post-secondary educational framework that allowed students to devise and submit their own VR content in order to learn and classify AR projects;;;;;;;;;;;;;;;;;;;;;
8;175;application of mobile VR in education: Rhizomatic Learning��Negotiated ecology of resources,� Social Constructivism��Collaboration tools for project planning (e.g., Google Docs),� Heutagogy��Student-generated content: 360 degree camera rig and stitching software,� Authentic learning: situated content��Shared 360 video (e.g., YouTube 360 via HMD and Google Cardboard), Authentic learning: situated context��360 degree immersive environment simulation,� Connectivism��Community Hub (e.g., Google Plus, Facebook, and Twitter).�;;;;;;;;;;;;;;;;;;;;;
8;176;key requirements of a successful practical VR course in interdisciplinary engineering education were found to be as follows: (a) primary emphasis on VR task design while maintaining student creative freedom, (b) clearly defined tasks for each individual group member�s role, (c) the use of software platforms that were open source with strong community followings;;;;;;;;;;;;;;;;;;;;;
8;177;[In VR] student group configuration and information from instructor-to-student collaboration, the students were recommended to define each individual groupmember�s role in accordance to their knowledge and interests. In smaller groups, statusmeetings of the project�s development were expected to be easier to organize and yield qualitative, well-structured project results ;;;;;;;;;;;;;;;;;;;;;
8;178;Larger groups [in VR] that consisted of more than 10 students would require a project manager (student designated) who is proficient in handling conflict management, with less emphasis on sub-task support;;;;;;;;;;;;;;;;;;;;;
8;179;the students to provide continuous progress updates, within the status meetings, so that any issues regarding design of the VR project are detected early;;;;;;;;;;;;;;;;;;;;;
9;180;contributing mainly to the visualization of occurrences that in many cases are invisible;;;;;;;;;;;;;;;;;;;;;
9;181;insertion of notes in the real world and contextualized visualization;;;;;;;;;;;;;;;;;;;;;
9;182;represent physical and chemical phenomena in micro and macromolecular scale, through simulated 3D virtual representations;;;;;;;;;;;;;;;;;;;;;
9;183;explore content driven by their current situation or environmental context;;;;;;;;;;;;;;;;;;;;;
9;184;presentation of multimedia resources to the students, motivating the interaction and stimulate learners to learn abstract ideas using different resources;;;;;;;;;;;;;;;;;;;;;
9;185;SSAR (...) construction of story-driven learning games for science education using AR and context-awareness;;;;;;;;;;;;;;;;;;;;;
9;186;Eco-Discovery AR-based Learning Model (EDALM)�EDALM integrates AR technology with the four stages of Kolb�s experiential learning cycle;;;;;;;;;;;;;;;;;;;;;
9;187;Emotional Mapping of Museum Augmented Places (EMMAP)�is a format aimed to develop innovative pedagogies, using handheld technology combined with QR codes, broadcasting and augmented reality;;;;;;;;;;;;;;;;;;;;;
9;188;[MAR methodology] 5E Instructional Model�which integrates guided activities to the teaching of science including five stages: engagement, exploration, explanation, elaboration, and evaluation;;;;;;;;;;;;;;;;;;;;;
10;189;visualization of occurrences that in many cases are invisible makes it capable of fostering students� cognitive abilities;;;;;;;;;;;;;;;;;;;;;
11;190;using AR to understand science phenomena that are not easy to explain through direct instruction;;;;;;;;;;;;;;;;;;;;;
11;191;[AR for] presenting scientific elements essential to understanding a concept or phenomenon in diverse ways;;;;;;;;;;;;;;;;;;;;;
11;192;AR-supported picture books;;;;;;;;;;;;;;;;;;;;;
11;193;AR-infused robot system (...) children�s engagement in dramatic play activities;;;;;;;;;;;;;;;;;;;;;
11;194;asking and providing guidance in a context-reliant workplace;;;;;;;;;;;;;;;;;;;;;
11;195;a robot and a handheld projector for supporting students� storytelling activities;;;;;;;;;;;;;;;;;;;;;
11;196;handheld devices with sensors have enabled context-aware learning experiences that complement classroom pedagogy by involving the context in the learning process (...) ;;;;;;;;;;;;;;;;;;;;;
11;197;A context-aware learning design can detect and act upon changes in the learner�s context (e.g., location, environment, state of body and mind, social group), and provide learning content relevant to the learner�s situation (...);;;;;;;;;;;;;;;;;;;;;
11;198;A typical scenario of context-aware learning can be a problem-based learning environment where the learner solves contextually relevant problems;;;;;;;;;;;;;;;;;;;;;
11;199;AR technique served as a valuable learning scaffold by enabling learners to visualize details, and to recognize and make sense of hidden information;;;;;;;;;;;;;;;;;;;;;
11;200;the AR technique provided students opportunities to experience information through visual, spatial, and sensorimotor feedback in response to interface manipulations;;;;;;;;;;;;;;;;;;;;;
11;201;AR-enhanced location-based learning as AR-enabled students to observe and experience comparisons between the past and the present;;;;;;;;;;;;;;;;;;;;;
11;202;require learners to solve complex problems in which they have to use a combination of real collected evidence and virtual information;;;;;;;;;;;;;;;;;;;;;
12;203;[learners] (...) who cannot get to the scene can watch both the [actions] (...) and views in [tool] (...) to learn skills and considerations in the [action] (...) by VR technology;;;;;;;;;;;;;;;;;;;;;
13;204;Virtual Reality (...) to provide a failsafe and accessible learning environment (...) [for] repeated exposure to educational content such as (...) skills and critical events as novice practitioners;;;;;;;;;;;;;;;;;;;;;
13;205;simulation [technical-specific procedures];;;;;;;;;;;;;;;;;;;;;
13;206;preparing (...) students for infrequent emergency situations;;;;;;;;;;;;;;;;;;;;;
13;207;Standardised learning and the ease of monitoring for objective evaluation of student performance;;;;;;;;;;;;;;;;;;;;;
14;208;case management using role-plays conducted in [virtual world];;;;;;;;;;;;;;;;;;;;;
14;209;virtual simulation home visit in (...) [virtual world] for a direct practice course;;;;;;;;;;;;;;;;;;;;;
14;210;�cocktail party� experiential learning exercises;;;;;;;;;;;;;;;;;;;;;
14;211;[Use VR to] develop case management plans, identifying client dynamics, assessing client social functioning, conducting evaluation activities during the case management process, and providing appropriate self-disclosure.;;;;;;;;;;;;;;;;;;;;;
14;212;foster more authentic �true selves� than in face-to-face interactions;;;;;;;;;;;;;;;;;;;;;
14;213;Students interviewed [a person] through their avatars (...);;;;;;;;;;;;;;;;;;;;;
14;214;[use VR to] save scarce resources;;;;;;;;;;;;;;;;;;;;;
14;215;[use VR to] act as a screening tool;;;;;;;;;;;;;;;;;;;;;
14;216;[use VR to] encourage greater risk taking with minimal harm;;;;;;;;;;;;;;;;;;;;;
14;217;[use VR to] create unusual or challenging situations for learning purposes that may not occur naturally;;;;;;;;;;;;;;;;;;;;;
14;218;[manipulate VR] to address each student�s unique learning style and learning pace;;;;;;;;;;;;;;;;;;;;;
14;219;[use VR to] standardize practice learning experiences;;;;;;;;;;;;;;;;;;;;;
15;220;Camera phones and smartphones allow users to gather information in a variety of locations. ;;;;;;;;;;;;;;;;;;;;;
