origin_id;origin_reference
147;A.L. Butt, S. Kardong-Edgren and A. Ellertson. Using game-based virtual reality with haptics for skill acquisition. Clinical Simulation in Nursing, 16 (2018), pp. 25-32.
148;C.-Y. Chang, C.-L. Lai and G.-J. Hwang. Trends and research issues of mobile learning studies in nursing education: a review of academic publications from 1971 to 2016. Comput. Educ., 116 (2018), pp. 28-48
149; C.A. Kilmon, � +2 � , A. Mikitiuk Nurs. Immersive virtual reality simulations in nursing education. Educ. Perspect., 31 (5) (2010), pp. 314-317.
150;S. Cobbett and E. Snelgrove-Clarke. Virtual versus face-to-face clinical simulation in relation to student knowledge, anxiety, and self-confidence in maternal-newborn nursing: a randomized controlled trial. Nurse Educ. Today, 45 (2016), pp. 179-184, 10.1016/j.nedt.2016.08.004.
151;W. Sherman and A. Craig Morgan Kaufmaan. Understanding Virtual Reality: Interface, Application, and Design. Sydney (2018).
152;D. Ulrich, S. Farra, S. Smith and E. Hodgson. The student experience using virtual reality simulation to teach decontamination. Clinical Simulation in Nursing, 10 (11) (2014), pp. 546-553.
153;Levine, J., & Adams, R. H. (2013). Introducing case management to students in a virtual world: An exploratory study. Journal of Teaching in Social Work, 33, 552�565.
154;Wilson, A. B., Brown, S., Wood, Z., & Farkas, K. (2013). Teaching direct practice skills using Web-based simulations: Home visiting in the virtual world. Journal of Teaching in Social Work, 33, 421�437.
155;Lee, E. O. (2014). Use of avatars and a virtual community to increase cultural competence. Journal of Technology in Human Services, 32, 93�107.
156;Bargh, J. A., McKenna, K., & Fitzsimons, G. M. (2002). Can you see the real me? Activation and expression of the �true self� on the Internet. Journal of Social Issues, 58, 33�48.
157;Tandy, C., Vernon, R., & Lynch, D. (2016). Teaching student interviewing competencies through Second Life. Journal of Social Work Education, 53, 66�71. 
158;Doel, M., & Cooner, T. (2002). �A virtual placement�: The creation of an interactive, Web-based program to prepare students for �live� placement. Journal of Practice Teaching, 4(1), 71�89.
159;Annetta, L., Burton, E. P., Frazier, W., Cheng, R., & Chmiel, M. (2012). Augmented reality games: Using technology on a budget. Science Scope, 36(3), 54-60.
160;AR U Feeling Appy?: Augmented Reality, Apps and Mobile Access to Local Studies Information Authors: Ellen Forsyt  Australasian Public Libraries and Information Services  September 2011.
161;Rick Van Krevelen, Ximedes and Ronald Poelman. A Survey of Augmented Reality Technologies, Applications and Limitations (June 2010). International Journal of Virtual Reality 9(2):1.
162;Miles, H. C., Pop, S. R., Watt, S. J., Lawrence, G. P., & John, N. W. (2012). A review of virtual environments for training in ball sports. Computers & Graphics, 36(6), 714�726.
163;Craig, C. (2013). Understanding perception and action in sport: How can virtual reality technology help? Sports Technology, 6(4), 161�169.
164;Al-Kadi, A. S., Donnon, T., Paolucci, E. O., Mitchell, P., Debru, E., & Church, N. (2012). The effect of simulation in improving students� performance in laparoscopic surgery: A meta-analysis. Surgical Endoscopy, 26(11), 3215�3224.
165;Zendejas, B., Brydges, R., Hamstra, S. J., & Cook, D. A. (2013). State of the evidence on simulation-based training for laparoscopic surgery: A systematic review. Annals of Surgery, 257(4), 586�593.
166;Cendan, J., & Lok, B. (2012). The use of virtual patients in medical school curricula. Advances in Physiology Education, 36(1), 48�53.
167;Cook, D. A., Erwin, P. J., & Triola, M. M. (2010). Computerized virtual patients in health professions education: A systematic review and meta-analysis. Academic Medicine, 85(10), 1589�1602.
168;Kleinsmith, A., Rivera-Gutierrez, D., Finney, G., Cendan, J., & Lok, B. (2015). Understanding empathy training with virtual patients. Computers in Human Behavior, 52, 151�158.
169;Michael-Grigoriou, D., Yiannakou, P., & Christofi, M. (2017). Intuitive interaction for exploring human anatomy in a VR setup. In 2017 23rd International Conference on Virtual System & Multimedia (VSMM) (pp. 1�4). IEEE.
170;Christofi, M., & Michael-Grigoriou, D. (2017). Virtual reality for inducing empathy and reducing prejudice towards stigmatized groups: A survey. In 2017 23rd International Conference on Virtual System & Multimedia (VSMM) (pp. 1�8). IEEE.
171;Eschenbrenner, B., Nah, F. F. H., & Siau, K. (2008). 3-D virtual worlds in education: Applications, benefits, issues, and opportunities. Journal of Database Management (JDM), 19(4), 91�110.
172;Parsons, T. D., Bowerly, T., Buckwalter, J. G., & Rizzo, A. A. (2007). A controlled clinical comparison of attention performance in children with ADHD in a virtual reality classroom compared to standard neuropsychological methods. Child Neuropsychology, 13(4), 363�381.
173;Smith, M. J., Fleming, M. F., Wright, M. A., Roberts, A. G., Humm, L. B., Olsen, D., et al. (2015). Virtual reality job interview training and 6-month employment outcomes for individuals with schizophrenia seeking employment. Schizophrenia Research, 166(1�3), 86�91.
174;Bertrand, P., Gonzalez-Franco, D., Cherene, C., & Pointeau, A. (2014). The machine to be another: Embodiment performance to promote empathy among individuals. Retrieved from http://www.themachinetobeanother.org/wp-content/uploads/2013/09/THE_MACHINE_TO_BE_ANOTHER_PAPER_2014.pdf .
175;Kuchera, B. (2014). Being someone else: How virtual reality is allowing men and women to swap bodies. Retrieved from http://www.polygon.com/2014/3/4/5423330/oculus-rift-vr-gender-swap-girl-mirror-look.
176;Rutherford-Morrison, L. (2015). Gender swap virtual reality headsets let you experience what the other gender experiences. Retrieved from http://www.bustle.com/articles/131482-gender-swap-virtual-reality-headsets-let-you-experience-what-the-other-gender-experiences.
177;Dumol, T., Lascano, P., Magno, J., & Tiongson, R. (2014). Minmin escapes from disaster: An Oculus Rift disaster simulation game. Philippine IT Journal, 7(1), 49�54.
178;Schwebel, D. C., Combs, T., Rodriguez, D., Severson, J., & Sisiopiku, V. (2016). Community-based pedestrian safety training in virtual reality: A pragmatic trial. Accident Analysis and Prevention, 86, 9�15.
179; Huang, Y. C., Backman, S. J., Chang, L. L., Backman, K. F., & McGuire, F. A. (2013). Experiencing student learning and tourism training in a 3D virtual world: An exploratory study. Journal of Hospitality, Leisure, Sport & Tourism Education, 13, 190�201.
180;Parsons, S. (2016). Authenticity in virtual reality for assessment and intervention in autism: A conceptual review. Educational Research Review, 19, 138�157.
181;Dieker, L., Hynes, M., Hughes, C., & Smith, E. (2008). Implications of mixed reality and simulation technologies on special education and teacher preparation. Focus on Exceptional Children, 40(6), 1.
182;Andreasen, J. B., & Haciomeroglu, E. S. (2009). Teacher training in virtual environments. In Annual Meeting of the North American Chapter of the International Group for the Psychology of Mathematics Education, Atlanta, GA.
183;Manouchou, E., Stavroulia, K. E., Ruiz-Harisiou, A., Georgiou, K., Sella, F., & Lanitis, A. (2016). A feasibility study on using virtual reality for understanding deficiencies of high school students. In 2016 18th Mediterranean Electrotechnical Conference (MELECON) (pp. 1�6). IEEE.
184;Stavroulia, K. E., Ruiz-Harisiou, A., Manouchou, E., Georgiou, K., Sella, F., & Lanitis, A. (2016). A 3D virtual environment for training teachers to identify bullying. In 2016 18th Mediterranean Electrotechnical Conference (MELECON) (pp. 1�6). IEEE.
185;Baka, E., Stavroulia, K. E., Magnenat-Thalmann, N., & Lanitis, A. (2018, June). An EEG-based evaluation for comparing the sense of presence between virtual and physical environments. In Proceedings of Computer Graphics International 2018 (pp. 107�116). ACM.                                                                                                                      
186;Stavroulia, K. E. & Lanitis, A. (2018). Addressing the cultivation of teachers� reflection skills via virtual reality based methodology. In The Proceedings of ICL2018�21th International Conference on Interactive Collaborative Learning (pp. 142�153), 25�28 September 2018, Kos Island, Greece.
187;Stavroulia, K. E., Baka, E., Lanitis, A., & Magnenat-Thalmann, N. (2018b). Designing a virtual environment for teacher training: Enhancing presence and empathy. In Proceedings of Computer Graphics International 2018 (pp. 273�282). ACM.
188;Alaraj, A., Lemole, M. G., Finkle, J. H., Yudkowsky, R., Wallace, A., Luciano, C., � Charbel, F. T. (2011). Virtual reality training in neurosurgery: Review of current status and future applications. Surgical Neurology International, 2.
189;Aiello, P., D�Elia, F., Di Tore, S., & Sibilio, M. (2012). A constructivist approach to virtual reality for experiential learning. E-Learning and Digital Media, 9(3), 317�324. 
190;Rizzo, A. A., Bowerly, T., Buckwalter, J. G., Klimchuk, D., Mitura, R., & Parsons, T. D. (2009). A virtual reality scenario for all seasons: The virtual classroom. CNS Spectrums, 11(1), 35�44.
191;Lee, E. A. L., & Wong, K. W. (2014). Learning with desktop virtual reality: Low spatial ability learners are more positively affected. Computers & Education, 79, 49�58.   
192;McComas, J., Pivik, P., & Laflamme, M. (1998). Current uses of virtual reality for children with disabilities. In Studies in health technology and informatics (pp. 161�169).
193;Stavroulia, K.E., Baka, E., Christofi, M., Michael-Grigoriou, D., Magnenat-Thalmann, N. & Lanitis A. (2018a). A virtual reality environment simulations drug use in schools: effect on emotions and mood states. In Proceedings of the International Conference on Information Communication Technologies in Education (ICICTE 2018) (pp. 225� 234). Retrieved from http://www.icicte.org/assets/6.2_stavroulia_-baka_-christofi_michael-grigoriou_-magnenat-thalmann_lanitis.pdf.
194;Parkhomenko, E., O'Leary, M., Safiullah, S., Walia, S., Owyong, M., Lin, C., . . . Clayman, R. (2018). Pilot Assessment of Immersive Virtual Reality Renal Models as an Educational and Preoperative Planning Tool for Percutaneous Nephrolithotomy. Journal of Endourology, 33(4), 283-288.
195;Maresky, H. S., Oikonomou, A., Ali, I., Ditkofsky, N., Pakkal, M., & Ballyk, B. (2019). Virtual reality and cardiac anatomy: Exploring immersive three-dimensional cardiac imaging, a pilot study in undergraduate medical anatomy education. Clinical Anatomy, 32(2), 238-243.
196;Borrel, A., & Fourches, D. (2017). RealityConvert: a tool for preparing 3D models of biochemical structures for augmented and virtual reality. Bioinformatics, 33(23), 3816-3818.   
197;Goddard, T. D., Brilliant, A. A., Skillman, T. L., Vergenz, S., Tyrwhitt-Drake, J., Meng, E. C., & Ferrin, T. E. (2018). Molecular Visualization on the Holodeck. Journal of Molecular Biology, 430(21), 3982-3996.
198;O'Connor, M., Deeks, H. M., Dawn, E., Metatla, O., Roudaut, A., Sutton, M., . . . Glowacki, D. R. (2018). Sampling molecular conformations and dynamics in a multiuser virtual reality framework. Science Advances, 4(6), 2731-2740.
199;Stepan, K., Zeiger, J., Hanchuk, S., Del Signore, A., Shrivastava, R., Govindaraj, S., & Iloreta, A. (2017). Immersive virtual reality as a teaching tool for neuroanatomy. International Forum Of Allergy & Rhinology, 7(10), 1006-1013.
200;Marsh, K. R., Giffin, B. F., & Lowrie, D. J., Jr. (2008). Medical Student Retention of Embryonic Development: Impact of the Dimensions Added by Multimedia Tutorials. Anatomical Sciences Education, 1(6), 252-257.
201;Fabris, C., Rathner, J.A., Fong, A.Y., & Sevigny, C.P. (2019). Virtual Reality in Higher Education. International Journal of Innovation in Science and Mathematics Education.
202;Su, X. and Dunston, P.S. and Proctor, R.W. and Wang, X. Influence of training schedule on development of perceptual�motor control skills for construction equipment operators in a virtual training system. Autom. Constr. 2013, 35, 439�447.
203;Park, C.-S. and Kim, H.-J. A framework for construction safety management and visualization system. Autom. Constr. 2013, 33, 95�103.
204;Saleh, J.H. and Pendley, C.C. From learning from accidents to teaching about accident causation and prevention: Multidisciplinary education and safety literacy for all engineering students. Reliab. Eng. Syst. Saf. 2012, 99, 105�113.                                                                                                                
205; Li, X. and Yi, W. and Chi, H. L. and Wang, X. and Chan, A.P. A critical review of virtual and augmented reality (VR/AR) applications in construction safety. Autom. Constr. 2018, 86, 150�162.
206;Cheng, T. and Teizer, J. Real-time resource location data collection and visualization technology for construction safety and activity monitoring applications. Autom. Constr. 2013, 34, 3�15.
207;Young, B. and Ellobody, E. and Hu, T.W. 3D Visualization of Structures Using Finite-Element Analysis in Teaching. J. Prof. Issues Eng. Educ. Pract. 2011, 138, 131�138.
208;Kamath, R.S. and Dongale, T.D. and Kamat, R.K. Development of Virtual Reality Tool for Creative Learning in Architectural Education. Int. J. Qual. Assur. Eng. Technol. Educ. 2012, 2, 16�24.
209;Fiorentino, M. and Monno, G. and Uva, A. Interactive �touch and see� FEM Simulation using Augmented Reality. Int. J. Eng. Educ. 2009, 25, 1124�1128.
210;Huang, J. and Ong, S.-K. and Nee, A.Y. Visualization and interaction of finite element analysis in augmented reality. Comput. Aided Des. 2017, 84, 1�14. 
211;C.H.  Chen,  Y.Y.  Chou,  C.Y.  Huang, �An Augmented-Reality Based Concept  Map to Support Mobile Learning for Science,� The  Asia-Pacific Education Researcher, vol. 25, no.4, pp. 567-578, 2016.
212;C.  Pribeanu,  A.  Balog,  and  D.D.  Iordache, �Measuring the perceived quality of an AR-based learning application:  a  multidimensional model,�Interactive Learning Environments, pp. 1-14, 2016.
213;W.K. Liou, K.K. Bhagat, and C.Y. Chang, �Beyond the Flipped Classroom: AHighly Interactive Cloud-Classroom (HIC) Embedded into Basic Materials Science Courses,� Journal of Science Education and Technology, vol. 25 no. 3, pp. 460-473, 2016.
214;K.R.  Parvathy,  M.L.  McLain,  K.  Bijlani,  R.  Jayakrishnan  and  R.R. Bhavani, �Augmented Reality Simulation to Visualize Global Warming and Its Consequences,�In Emerging Research in Computing, Information, Communication andApplications, pp. 69-78, 2016.
215;L. M. M. S. Al Qassem, H. Al Hawai, S. Al Shehhi, M. J. Zemerly, and J.W.  Ng,  �AIR-EDUTECH: Augmented immersive reality (AIR) technology for high school Chemistry education,� Global Engineering Education Conference (EDUCON),pp. 842-847, 2016.
216;M.B. Ib��ez, A. Di-Serio, D. Villar�n-Molina, and C. Delgado-Kloos, �Support for Augmented Reality Simulation Systems:  The  Effects  of Scaffolding  on  LearningOutcomes  and  Behavior  Patterns,�IEEE Transactions on Learning Technologies, vol.9, no.1, pp. 46-56, 2016.
217;F.J. Torregrosa, J. Torralba, M.A. Jimenez, S. Garc�a, and J.M. Barcia, �ARBOOK: development and assessment of a tool based onaugmented reality for anatomy,� Journal of  Science  Education  and  Technology, vol. 24, no.1, pp.119-124, 2015.
218;F.  Ke and Y.C. Hsu, �Mobile augmented-reality artifact creation as a component of mobile computer-supported collaborative learning,�The Internet and Higher Education, vol. 26, pp. 33-41, 2015.
219;W. Tarng, K.L. Ou, C.S. Yu,F.L. Liou, and H.H. Liou, �Development of a virtual butterfly ecological system based on augmented reality and mobile learning technologies, �Virtual  Reality,  vol.  19,  no.  3-4,  pp. 253-266, 2015.
220;G. Valarmathie, A. N. Zulkifli, N.F. Faisal, A.A. Mohamed, R.C. Mat, J.A.  A.  Bakar,  and    A.  Z.Saidin, �A Review of the Features of Augmented Reality Science Textbook,�2014.
221;R.C.  Chang,  L.Y.  Chung,  Y.M.  Huang, �Developing an interactive augmented reality  system  as  a  complement  to  plant  education  and comparing its effectiveness with video learning,� Interactive Learning Environments,  pp.1-20, 2014.
222;R.  Wojciechowski,  and  W.  Cellary, �Evaluation of learners� attitude toward    learning    in    ARIES    augmented    reality    environments,�Computers & Education, vol. 68, pp. 570-585, 2013.
223;J. C. Yen, C. H. Tsai, and M. Wu, �Augmented Reality in the Higher Education:  Students�  Science Concept Learning and Academic Achievement in Astronomy,� Procedia-Social   and   Behavioral Sciences, vol.103, pp. 165-173, 2013.
224;A. Dunser, L. Walker, H. Horner, and D. Bentall, �Creating interactive physics education books with augmented reality,� In Proceedings of the 24th Australian computer-human interaction conference, pp. 107-114, 2012.
225;C.H.  Wang,  and  P.H.  Chi, �Applying augmented reality in teaching fundamental  earth  science  in  junior  high  schools,�In Computer Applications for Database, Education, and Ubiquitous Computing, pp. 23-30, 2012. 
226;N.  Setozaki,  T.  Iwasaki,  and  Y.  Morita, �Examination of Effective Information Presentation Using an AR Textbook,� presented at the 20th International Conference on Computers in Education, Singapore, 2012.
227;A.K. Sin and H.B. Zaman, �Live Solar System (LSS): Evaluation of an Augmented  Reality  book-based  educational  tool,� InInformation Technology (ITSim), vol. 1, pp. 1-6, 2010.
228;S. Oh, and W. Woo, �AR Garden: Augmented edutainment system with a learning companion,� In Transactions  on  edutainment,  pp. 40-50, 2008.
229;J.  McKenzie,  and  D.  Darnell, �The  EyeMagic  Book:  A Report into Augmented Reality  Storytelling  in  the  Context  of  a  Children�s Workshop,� Christchurch,  NZ:  Centre  for  Children�s  Literature, Christchurch College of Education, 2003.
230;M. Akcayir, G. Akcayir, H.M. Pektas, M.A. Ocak, �Augmented reality in science laboratories: The effects of augmented reality on university students� laboratory skills  and  attitudes toward science laboratories,�Computers in Human Behavior, vol. 57, pp. 334-342, 2016.
231;H.T. Zimmerman, S.M. Land, M. R. Mohney, G.W. Choi, C. Maggiore, S.H.  Kim,  Y.J.  Jung,    and  J.  Dudek, �Using augmented reality to support observations about trees during summer camp,� In Proceedings  of  International  Conference  on  Interaction  Design  and Children, pp. 395-398, 2015.
232;T.H. Chiang, S.J. Yang, and G.J. Hwang, �Students' online interactive patterns  in  augmented  reality-based  inquiry  activities,�Computers  & Education, vol. 78, pp. 97-108, 2014.
233;T.  F.  L.  Jerry,  and  C.C.E.  Aaron, �The impact of augmented reality software with inquiry-based learning on  students' learning of kinematics graph,� vol. 2, pp. 2-1, 2010.
234;S.H. Lee, J. Choi, and J. I. Park, �Interactive e-learning system using pattern  recognition and augmented reality,� IEEE  Transactions  on Consumer Electronics, vol. 55 no. 2, pp. 883-890, 2009.
235;C.  Pribeanu,  A.  Balog,  and  D.D.  Iordache, �Measuring the perceived quality of an AR-based  learning  application:  a  multidimensional model,�Interactive Learning Environments, pp. 1-14, 2016.
236;M.B. Ib��ez, A. Di-Serio, D. Villar�n-Molina, and C. Delgado-Kloos, �Support for Augmented Reality Simulation  Systems:  The  Effects  of Scaffolding  on  LearningOutcomes  and  Behavior  Patterns,�IEEE Transactions on Learning Technologies, vol.9, no.1, pp. 46-56, 2016.
237;R.E.  Mayer, Multimedia  Learning.  Cambridge,  United  Kingdom: Cambridge University Press, 2001.
238;D. P�rez-L�pez, and M. Contero, �Delivering Educational Multimedia Contents through an Augmented Reality Application: A Case Study on Its Impact on Knowledge Acquisition and Retention,�Turkish OnlineJournal of Educational Technology-TOJET, vol. 12, no. 4, pp. 19-28, 2013.
239;Mayer, R. E. (2005). The Cambridge handbook of multimedia learning. Cambridge: Cambridge University Press.
240;Hsi, S. (2003). A study of user experiences mediated by nomadic web content in a museum. Journal of Computer Assisted Learning, 19(3), 308�319.
241;Kitalong, K. S., Moody, J. E., Middlebrook, R. H., & Ancheta, G. S. (2009). Beyond the screen: narrative mapping as a tool for evaluating a mixed-reality science museum exhibit. Technical Communication Quarterly, 18(2), 142�165.
242;Salmi, H., Sotiriou, S., & Bogner, F. (2009). Visualising the Invisible in Science Centres and Science Museums: Augmented Reality (AR) Technology. Web-Based Learning Solutions for Communities of Practice: Developing Virtual Environments for Social and Pedagogical Advancement: Developing Virtual Environments for Social and Pedagogical Advancement, 185.
243;Yoon, S., Elinich, K., Wang, J., Steinmeier, C., & Tucker, S. (2012). Using augmented reality and knowledge-building scaffolds to improve learning in a science museum. International Journal of Computer-Supported Collaborative Learning, 7(4), 519�541.
244;J. Mart�n-Guti�rrez, J.L. Saor�n, M. Contero, M. Alca�iz, D.C. P�rez-L�pez and M. Ortega. Design and validation of an augmented book for spatial abilities development in engineering students. Computers & Graphics, 34 (1) (2010), pp. 77-91.
245;J.A. Frank and V. Kapila. Mixed-reality learning environments: Integrating mobile interfaces with laboratory test-beds. Computers & Education, 110 (2017), pp. 88-104.
246;H.C.K. Lin, M.C. Chen and C.K. Chang. Assessing the effectiveness of learning solid geometry by using an augmented reality-assisted learning system. Interactive Learning Environments, 23 (6) (2015), pp. 799-810.
247;A. Estapa and L. Nadolny. The effect of an augmented reality enhanced mathematics lesson on student achievement and motivation. Journal of STEM Education: Innovations and Research, 16 (3) (2015), p. 40.
248;N. Bursztyn, A. Walker, B. Shelton and J. Pederson. Increasing undergraduate interest to learn geoscience with GPS-based augmented reality field trips on students' own smartphones. Geological Society of America Today, 27 (5) (2017), pp. 4-11.
249;V. Gopalan, A.N. Zulkifli, N.F. Faisal Mohamed, A. Alwi, R. Che Mat, J.A. Abu Bakar et al. Evaluation of e-star: An enhanced science textbook using augmented reality among lower secondary school student. Jurnal Teknologi (2015).
250;M.B. Ib��ez, �. Di Serio, D. Villar�n and C.D. Kloos. Experimenting with electromagnetism using augmented reality: Impact on flow student experience and educational effectiveness. Computers & Education, 71 (2014), pp. 1-13.
251;W. Tarng, Y.S. Lin, C.P. Lin and K.L. Ou. Development of a lunar-phase observation system based on augmented reality and mobile learning technologies. Mobile Information Systems, 2016 (2016), pp. 1-12.
252;H.Y. Wang, H.B.L. Duh, N. Li, T.J. Lin and C.C. Tsai. An investigation of university students' collaborative inquiry learning behaviors in an augmented reality simulation and a traditional simulation. Journal of Science Education and Technology, 23 (5) (2014), pp. 682-691.
253;H.T. Zimmerman, S.M. Land and Y.J. Jung. Using augmented reality to support Children's situational interest and science learning during context-sensitive informal mobile learning. In mobile, ubiquitous, and pervasive learning. Springer International Publishing (2016).
254;C. Quintana, B.J. Reiser, E.A. Davis, J. Krajcik, E. Fretz, R.G. Duncan et al. A scaffolding design framework for software to support science inquiry. The Journal of the Learning Sciences, 13 (3) (2004), pp. 337-386.
255;S. Cuendet, Q. Bonnard, S. Do-Lenh and P. Dillenbourg. Designing augmented reality for the classroom. Computers & Education, 68 (2013), pp. 557-569.
256;A. Cascales-Mart�nez, M.J. Mart�nez-Segura, D. P�rez-L�pez and M. Contero. Using an augmented reality enhanced tabletop system to promote learning of mathematics: A case study with students with special educational needs. Eurasia Journal of Mathematics, Science and Technology Education, 13 (2) (2017), pp. 355-380.
257;E. Guti�rrez de Rav�, F.J. Jim�nez-Hornero, A.B. Ariza-Villaverde and J. Taguas-Ruiz. DiedricAR: A mobile augmented reality system designed for the ubiquitous descriptive geometry learning. Multimedia Tools and Applications, 75 (16) (2016), pp. 9641-9663.
258; J.S. Bruner. The act of discovery. Harvard Educational Review, 31 (1961), pp. 21-32.
259;C.P. Chen and C.H. Wang. Employing augmented-reality-embedded instruction to disperse the imparities of individual differences in earth science learning. Journal of Science Education and Technology, 24 (6) (2015), pp. 835-847.
260;Aottiwerch, N., & Kokaew, U. (2017, July). Design computer-assisted learning in an online Augmented Reality environment based on Shneiderman's eight Golden Rules. In Computer Science and Software Engineering (JCSSE), 2017 14th International Joint Conference on (pp. 1-5). IEEE.
261;Odeh, S., Abu Shanab, S., & Anabtawi, M. (2015). Augmented Reality Internet Labs versus its Traditional and Virtual Equivalence. International Journal of Emerging Technologies in Learning, 10(3).
262;De Freitas, S., Rebolledo-Mendez, G., Liarokapis, F., Magoulas, G., & Poulovassilis, A. (2010). Learning as immersive experiences: Using the four-dimensional framework for designing and evaluating immersive learning experiences in a virtual world. British Journal of Educational Technology, 41(1), 69-85.
263;Santos, M. E. C., Taketomi, T., Yamamoto, G., Rodrigo, M. M. T., Sandor, C., & Kato, H. (2016). Augmented reality as multimedia: the case for situated vocabulary learning. Research and Practice in Technology Enhanced Learning, 11(1), 4.
264;Parhizkar, B., Islam, M., Lashkari, A., Abdullas-Al-Jubair, M., Gebril, Z., & Zarrabi, M. (2012). Simulation of Investigating the Earth and Universe Using Interactive Mobile Augmented Reality Based On Smart Evaluation. In Proceedings of the International MultiConference of Engineers and Computer Scientists (Vol. 1, pp. 656-659).
265;Furi�, D., Juan, M. C., Segu�, I., & Viv�, R. (2015). Mobile learning vs. traditional classroom lessons: a comparative study. Journal of Computer Assisted Learning, 31(3), 189-201.
266;"Koutromanos, G., & Styliaras, G. (2015, July). "" The buildings speak about our city"": A location based augmented reality game. In Information, Intelligence, Systems and Applications (IISA), 2015 6th International Conference on (pp. 1-6). IEEE."
267;Chang, Y. L., Hou, H. T., Pan, C. Y., Sung, Y. T., & Chang, K. E. (2015). Apply an augmented reality in a mobile guidance to increase sense of place for heritage places. Educational Technology & Society, 18(2), 166-178.
268;Squire, K. D., & Jan, M. (2007). Mad City Mystery: Developing scientific argumentation skills with a place-based augmented reality game on handheld computers. Journal of Science Education and Technology, 16(1), 5-29.
269;Chang, Y. H., & Lin, Y. K. (2014, July). A kinect-based system for learning Chinese cultural festivals. In Machine Learning and Cybernetics (ICMLC), 2014 International Conference on (Vol. 2, pp. 462-468). IEEE.
270;Lundblad, T., Malmberg, C., Areskoug, M., & J�nsson, P. (2012). Simulating real-life problems in secondary science class: a socio-scientific issue carried through by an Augmented Reality simulation. HUMAN IT 12.2(2012): 1�41.
271;Wu, H. K., Lee, S. W. Y., Chang, H. Y., & Liang, J. C. (2013). Current status, opportunities and challenges of augmented reality in education. Computers & education, 62, 41-49.
272;Safont, L.V., Villagrasa, S., Fonseca, D., & Redondo, E. (2015). Virtual Learning Scenarios for Qualitative Assessment in Higher Education 3D Arts. J. Univers. Comput. Sci., 21, 1086-1105.
273;Ib��ez, M. B., Maroto, D., Rueda, J. J. G., Leony, D., & Kloos, C. D. (2012). Architecture for Collaborative Learning Activities in Hybrid Learning Environments. J. UCS, 18(15), 2187-2202.[19, 124].
274;Sommerauer, P., & M�ller, O. (2018). Augmented Reality for Teaching and Learning - a literature Review on Theoretical and Empirical Foundations. ECIS.
275;Bingham, C. B., & Davis, J. P. (2012). Learning sequences: their existence, effect, and evolution. Academy of Management Journal, 55(3), 611-641.
276;McLellan, H. (1996). Evaluation in a situated learning environment, situated Learning perspectives, Englewood Cliffs, NJ: Educational Technology Publications.
277;Chang, Y. H., & Jen-ch'iang, L. I. U. (2013). Applying an AR technique to enhance situated heritage learning in a ubiquitous learning environment. TOJET: The Turkish Online Journal of Educational Technology, 12(3).
278;Parhizkar, B., Gebril, Z. M., Obeidy, W. K., Ngan, M. N. A., Chowdhury, S. A., & Lashkari, A. H. (2012, May). Android mobile augmented reality application based on different learning theories for primary school children. In Multimedia Computing and Systems (ICMCS), 2012 International Conference on (pp. 404-408). IEEE.
279;Santos, M. E. C., Chen, A., Terawaki, M., Yamamoto, G., Taketomi, T., Miyazaki, J., & Kato, H. (2013, July). Augmented reality X-Ray interaction in K-12 education: theory, student perception and teacher evaluation. In Advanced Learning Technologies (ICALT), 2013 IEEE 13th International Conference on (pp. 141-145). IEEE.                                                                                                    
280;Veliz Reyes A. (2015) Augmented pedagogies. Available from: British Library EThOS, Ipswich, MA. Accessed November 12, 2017.
281;Margetis, G., Zabulis, X., Koutlemanis, P., Antona, M., & Stephanidis, C. (2013). Augmented interaction with physical books in an Ambient Intelligence learning environment. Multimedia tools and applications, 67(2), 473-495.
282;Ternier, S., Klemke, R., Kalz, M., Van Ulzen, P., & Specht, M. (2012). ARLearn: Augmented Reality Meets Augmented Virtuality. J. UCS, 18(15), 2143-2164.
283;"Jenkins, H. (2008). Augmented learning: An interview with Eric Klopfer. Retrieved from http://henryjenkins.org/2008/07/an_interview_with_eric_klopfer.html .
"
284;Carmigniani, J. & Furht, B. (2011) Augmented reality: An overview. In B. Furht (Ed.), Handbook of augmented reality (pp. 3-46). New York, NY: Springer.
285;Liu, P.-H. E., & Tsai, M.-K. (2013). Using augmented-reality-based mobile learning material in EFL English composition: An exploratory case study. British Journal of Educational Technology, 44(1), E1-E4.
286;Richardson, D. (2016). Exploring the potential of a location based augmented reality game for language learning. International Journal of Game-Based Learning, 6(3), 34-49.
287;Bower, M., Howe, C., McCredie, N., Robinson, A., & Grover, D. (2014). Augmented reality in education � Cases, places and potentials. Educational Media International, 51(1), 1-15.
288;Slussareff, M., & Boh�?kov�, P. (2016). Students as game designers vs. �just� players: Comparison of two different approaches to location-based games implementation into school curricula. Digital Education Review, 29, 284�297.
289;Liu, Y., Holden, D., & Zheng, D. (2016). Analyzing students� language learning experience in an augmented reality mobile game: An exploration of an emergent learning environment. Procedia: Social and Behavioral Sciences, 228, 369-374.
290;"Perry, B. (2015). Gamifying French language learning: A case study examining a questbased, augmented reality mobile learning-tool. Procedia - Social and Behavioral Sciences, 174, 2308�2315.
"
291;Hsu, T.C. (2017). Learning English with augmented reality: Do learning styles matter? Computers & Education, 106, 137-149.
292;Gee, J. (2003). What video games have to teach us about learning and literacy. New York, NY: Palgrave Macmillan.
